index,x,y,z,ray_x,ray_y,ray_z,min_distance
10,-0.025549107,0.361232359,0.344758504,-0.864894057,-0.377222057,0.331152217,inf
10,-0.025549107,0.361232359,0.344758504,-0.70618304,-0.514338084,0.4865818,inf
10,-0.025549107,0.361232359,0.344758504,-0.499346817,-0.616402822,0.608851639,inf
10,-0.025549107,0.361232359,0.344758504,-0.258480932,-0.676460726,0.689629244,inf
10,-0.025549107,0.361232359,0.344758504,-1.22E-16,-0.690418949,0.723409756,inf
10,-0.025549107,0.361232359,0.344758504,0.258480932,-0.657326261,0.707891089,inf
10,-0.025549107,0.361232359,0.344758504,0.499346817,-0.579437876,0.644130814,inf
10,-0.025549107,0.361232359,0.344758504,0.70618304,-0.462061756,0.536474088,inf
10,-0.025549107,0.361232359,0.344758504,0.864894057,-0.313196892,0.39225754,inf
10,-0.025549107,0.361232359,0.344758504,0.964663973,-0.142988177,0.221309288,inf
10,-0.025549107,0.361232359,0.344758504,0.998693633,0.036964946,0.035279175,inf
10,-0.025549107,0.361232359,0.344758504,0.964663973,0.214398969,-0.153155156,inf
10,-0.025549107,0.361232359,0.344758504,0.864894057,0.377222057,-0.331152217,2.417058229
10,-0.025549107,0.361232359,0.344758504,0.70618304,0.514338084,-0.4865818,inf
10,-0.025549107,0.361232359,0.344758504,0.499346817,0.616402822,-0.608851639,inf
10,-0.025549107,0.361232359,0.344758504,0.258480932,0.676460726,-0.689629244,inf
11,-0.028104017,0.397355595,0.379234354,0,0.690418949,-0.723409756,inf
11,-0.028104017,0.397355595,0.379234354,-0.258480932,0.657326261,-0.707891089,inf
11,-0.028104017,0.397355595,0.379234354,-0.499346817,0.579437876,-0.644130814,inf
11,-0.028104017,0.397355595,0.379234354,-0.70618304,0.462061756,-0.536474088,inf
11,-0.028104017,0.397355595,0.379234354,-0.864894057,0.313196892,-0.39225754,inf
11,-0.028104017,0.397355595,0.379234354,-0.964663973,0.142988177,-0.221309288,inf
11,-0.028104017,0.397355595,0.379234354,-0.998693633,-0.036964946,-0.035279175,inf
11,-0.028104017,0.397355595,0.379234354,-0.964663973,-0.214398969,0.153155156,inf
11,-0.028104017,0.397355595,0.379234354,-0.864894057,-0.377222057,0.331152217,inf
11,-0.028104017,0.397355595,0.379234354,-0.70618304,-0.514338084,0.4865818,inf
11,-0.028104017,0.397355595,0.379234354,-0.499346817,-0.616402822,0.608851639,inf
11,-0.028104017,0.397355595,0.379234354,-0.258480932,-0.676460726,0.689629244,inf
11,-0.028104017,0.397355595,0.379234354,-1.22E-16,-0.690418949,0.723409756,inf
11,-0.028104017,0.397355595,0.379234354,0.258480932,-0.657326261,0.707891089,inf
11,-0.028104017,0.397355595,0.379234354,0.499346817,-0.579437876,0.644130814,inf
11,-0.028104017,0.397355595,0.379234354,0.70618304,-0.462061756,0.536474088,inf
11,-0.028104017,0.397355595,0.379234354,0.864894057,-0.313196892,0.39225754,inf
11,-0.028104017,0.397355595,0.379234354,0.964663973,-0.142988177,0.221309288,inf
11,-0.028104017,0.397355595,0.379234354,0.998693633,0.036964946,0.035279175,inf
11,-0.028104017,0.397355595,0.379234354,0.964663973,0.214398969,-0.153155156,inf
11,-0.028104017,0.397355595,0.379234354,0.864894057,0.377222057,-0.331152217,2.321297169
11,-0.028104017,0.397355595,0.379234354,0.70618304,0.514338084,-0.4865818,1.702468634
11,-0.028104017,0.397355595,0.379234354,0.499346817,0.616402822,-0.608851639,1.420571804
11,-0.028104017,0.397355595,0.379234354,0.258480932,0.676460726,-0.689629244,inf
12,-0.030658928,0.433478831,0.413710205,0,0.690418949,-0.723409756,1.215959072
12,-0.030658928,0.433478831,0.413710205,-0.258480932,0.657326261,-0.707891089,1.277175784
12,-0.030658928,0.433478831,0.413710205,-0.499346817,0.579437876,-0.644130814,inf
12,-0.030658928,0.433478831,0.413710205,-0.70618304,0.462061756,-0.536474088,inf
12,-0.030658928,0.433478831,0.413710205,-0.864894057,0.313196892,-0.39225754,inf
12,-0.030658928,0.433478831,0.413710205,-0.964663973,0.142988177,-0.221309288,inf
12,-0.030658928,0.433478831,0.413710205,-0.998693633,-0.036964946,-0.035279175,inf
12,-0.030658928,0.433478831,0.413710205,-0.964663973,-0.214398969,0.153155156,inf
12,-0.030658928,0.433478831,0.413710205,-0.864894057,-0.377222057,0.331152217,inf
12,-0.030658928,0.433478831,0.413710205,-0.70618304,-0.514338084,0.4865818,inf
12,-0.030658928,0.433478831,0.413710205,-0.499346817,-0.616402822,0.608851639,inf
